WOJ;POW;GMI;RODZ;NAZWA;NAZWA_DOD;STAN_NA
8;2;;;krośnieński;powiat;2021-01-01
18;7;;;krośnieński;powiat;2021-01-01
30;12;;;krotoszyński;powiat;2021-01-01
10;2;;;kutnowski;powiat;2021-01-01
22;7;;;kwidzyński;powiat;2021-01-01
14;8;;;legionowski;powiat;2021-01-01
2;62;;;Legnica;miasto na prawach powiatu;2021-01-01
2;9;;;legnicki;powiat;2021-01-01
18;21;;;leski;powiat;2021-01-01
30;13;;;leszczyński;powiat;2021-01-01
30;63;;;Leszno;miasto na prawach powiatu;2021-01-01
18;8;;;leżajski;powiat;2021-01-01
22;8;;;lęborski;powiat;2021-01-01
28;9;;;lidzbarski;powiat;2021-01-01
12;7;;;limanowski;powiat;2021-01-01
4;8;;;lipnowski;powiat;2021-01-01
14;9;;;lipski;powiat;2021-01-01
18;9;;;lubaczowski;powiat;2021-01-01
2;10;;;lubański;powiat;2021-01-01
6;8;;;lubartowski;powiat;2021-01-01
6;9;;;lubelski;powiat;2021-01-01
2;11;;;lubiński;powiat;2021-01-01
6;63;;;Lublin;miasto na prawach powiatu;2021-01-01
24;7;;;lubliniecki;powiat;2021-01-01
2;12;;;lwówecki;powiat;2021-01-01
18;10;;;łańcucki;powiat;2021-01-01
10;3;;;łaski;powiat;2021-01-01
10;4;;;łęczycki;powiat;2021-01-01
6;10;;;łęczyński;powiat;2021-01-01
32;18;;;łobeski;powiat;2021-01-01
20;62;;;Łomża;miasto na prawach powiatu;2021-01-01
20;7;;;łomżyński;powiat;2021-01-01
14;10;;;łosicki;powiat;2021-01-01
10;5;;;łowicki;powiat;2021-01-01
10;6;;;łódzki wschodni;powiat;2021-01-01
10;61;;;Łódź;miasto na prawach powiatu;2021-01-01
6;11;;;łukowski;powiat;2021-01-01
14;11;;;makowski;powiat;2021-01-01
22;9;;;malborski;powiat;2021-01-01
12;8;;;miechowski;powiat;2021-01-01
18;11;;;mielecki;powiat;2021-01-01
30;14;;;międzychodzki;powiat;2021-01-01
8;3;;;międzyrzecki;powiat;2021-01-01
24;8;;;mikołowski;powiat;2021-01-01
2;13;;;milicki;powiat;2021-01-01
14;12;;;miński;powiat;2021-01-01
14;13;;;mławski;powiat;2021-01-01
4;9;;;mogileński;powiat;2021-01-01
20;8;;;moniecki;powiat;2021-01-01
28;10;;;mrągowski;powiat;2021-01-01
24;70;;;Mysłowice;miasto na prawach powiatu;2021-01-01
24;9;;;myszkowski;powiat;2021-01-01
12;9;;;myślenicki;powiat;2021-01-01
